id,position_id,type,quantity,price_brl,executed_at,created_at
09ca0d5c-0b8a-46a8-a5d1-726c29d13d29,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,169.579544,62.0,2026-03-27 21:43:53,2026-03-27 21:43:53
8c1fb227-d229-4aab-bee9-d1174eedf1cd,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,145.192358,60.781125,2026-03-28 02:46:45,2026-03-28 02:46:45
bb3de8b2-c083-4c9a-a2d3-1100c806d028,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,54.423856,64.401601,2026-03-28 08:49:05,2026-03-28 08:49:05
76156563-e657-4418-b079-b70edb50b967,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,120.981487,66.364163,2026-03-28 11:05:36,2026-03-28 11:05:36
22477d67-be7d-4bf9-a21f-2c0ae38bc73b,f363749a-cc18-494c-b4d1-e2dd6e86df36,sell,38.444495,60.831624,2026-03-28 19:40:27,2026-03-28 19:40:27
0eadb39c-1b8c-49da-ac8b-7bcd298f64f1,f363749a-cc18-494c-b4d1-e2dd6e86df36,sell,145.136743,54.937291,2026-03-28 22:25:08,2026-03-28 22:25:08
b904393a-4b3f-4871-87b8-542023008f34,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,96.399447,52.736819,2026-03-29 06:49:33,2026-03-29 06:49:33
25bcfa69-d532-4072-97ff-12e7913143cd,f363749a-cc18-494c-b4d1-e2dd6e86df36,sell,67.259898,51.677386,2026-03-29 07:30:34,2026-03-29 07:30:34
70153cfc-9c56-4933-b20c-8135cf78e2d6,f363749a-cc18-494c-b4d1-e2dd6e86df36,sell,3.558701,51.286691,2026-03-29 11:27:25,2026-03-29 11:27:25
ea16ce33-b44f-4b01-9c1a-60aa567c5c2c,f363749a-cc18-494c-b4d1-e2dd6e86df36,sell,159.827871,51.348738,2026-03-29 12:37:54,2026-03-29 12:37:54
9c768fd4-1c09-49b0-8f22-2c22a81c6932,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,199.914829,52.73227,2026-03-29 20:57:40,2026-03-29 20:57:40
58ec1f3d-39d5-4ca8-b227-0e00e7745c89,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,49.276043,49.850998,2026-03-30 04:22:49,2026-03-30 04:22:49
e75894d3-701a-40df-873b-4a80075e41bf,f363749a-cc18-494c-b4d1-e2dd6e86df36,buy,41.698115,46.260636,2026-03-30 06:20:29,2026-03-30 06:20:29
47e929dd-49dc-4069-b5d9-f8f25494508f,3fb12e71-4df0-4049-8ee1-eb98701e6b72,buy,6580.618865,5.8,2026-03-19 09:26:36,2026-03-19 09:26:36
4c63eadb-f679-4fe2-8036-54246c7a24da,3fb12e71-4df0-4049-8ee1-eb98701e6b72,buy,2647.534901,5.635053,2026-03-21 22:19:49,2026-03-21 22:19:49
3660755c-569a-4f84-8ac3-f98dfd35b890,3fb12e71-4df0-4049-8ee1-eb98701e6b72,sell,4462.892626,5.804201,2026-03-23 08:22:14,2026-03-23 08:22:14
139b3a46-668f-4390-9b3d-896ad4294947,3fb12e71-4df0-4049-8ee1-eb98701e6b72,buy,4956.896268,5.652511,2026-03-23 20:53:38,2026-03-23 20:53:38
