id,portfolio_id,ticker,asset_type,quantity,avg_price_brl,created_at,updated_at
8b7a7d1d-bdb3-4589-ad56-6eb6f127c1a1,2b01b580-622c-49b2-a89e-54efac1187fc,VALE3.SA,stock,387.361716,56.66177,2025-05-03 11:21:41,2026-02-20 11:01:44
f320ad1c-cf0f-49a6-8032-70839a83638e,2b01b580-622c-49b2-a89e-54efac1187fc,SOL-USD,crypto,15.642329,686.046606,2025-04-15 11:21:41,2026-02-10 15:40:28
de6e9d66-bc84-46cf-a55b-46ab06ad43c7,2b01b580-622c-49b2-a89e-54efac1187fc,BBDC4.SA,stock,429.11583,13.741004,2025-04-12 11:21:41,2025-11-19 18:11:04
14acc4fb-92a0-4814-96d2-b43423907b50,2b01b580-622c-49b2-a89e-54efac1187fc,MGLU3.SA,stock,463.496572,6.878421,2025-04-23 11:21:41,2025-11-12 22:52:38
d9b6b7d5-53f4-48c0-9965-ec472929f93f,2b01b580-622c-49b2-a89e-54efac1187fc,RENT3.SA,stock,1020.895976,55.508781,2025-04-17 11:21:41,2026-01-01 09:57:57
c3b43a7a-d757-41d9-bede-7a258caa8ea5,2b01b580-622c-49b2-a89e-54efac1187fc,JPM,stock,65.316324,1109.046365,2025-04-25 11:21:41,2026-02-14 11:12:52
604e8687-a8c3-46d0-aa98-83d2bda1825c,2b01b580-622c-49b2-a89e-54efac1187fc,V,stock,201.716526,1414.72449,2025-04-04 11:21:41,2025-12-26 06:41:58
40eedb4a-9a24-46e6-afc4-421b6fb57c21,2b01b580-622c-49b2-a89e-54efac1187fc,LREN3.SA,stock,799.55101,20.668466,2025-04-10 11:21:41,2026-02-28 14:52:06
0b8a3248-c0eb-472d-b5b9-2f083b53da9a,2b01b580-622c-49b2-a89e-54efac1187fc,AMZN,stock,171.727116,992.504062,2025-04-03 11:21:41,2025-11-21 07:06:05
1d15a481-b5b9-406b-946d-6c2bbf425cff,2b01b580-622c-49b2-a89e-54efac1187fc,META,stock,418.178323,2194.009006,2025-04-24 11:21:41,2025-11-01 23:36:34
e6061e25-a299-4fe6-b57a-9f89c8a18734,4cf69867-e0f8-4ea6-ac52-94782bab656e,GBP-BRL,fx,38656.630521,5.195173,2025-02-24 03:27:37,2026-02-21 02:57:20
99f42b25-45ca-4042-81da-8ee9c5f6c475,4cf69867-e0f8-4ea6-ac52-94782bab656e,PETR4.SA,stock,993.983662,36.861134,2025-03-03 03:27:37,2025-12-18 04:38:06
11c013d1-8345-486f-aa2b-c022e29c329e,4cf69867-e0f8-4ea6-ac52-94782bab656e,TSLA,stock,309.672878,1088.229553,2025-02-07 03:27:37,2025-12-18 05:22:05
4d597667-a22b-4f8f-8fe6-b9f7eee08e7c,4cf69867-e0f8-4ea6-ac52-94782bab656e,XRP-USD,crypto,9.399958,3.263913,2025-02-04 03:27:37,2025-12-02 20:56:25
e6d1cb58-1939-421b-9dd2-8997708083e1,4cf69867-e0f8-4ea6-ac52-94782bab656e,NVDA,stock,306.566511,4548.830145,2025-02-07 03:27:37,2026-02-16 10:59:54
6785cca8-f67a-4ff6-b8d7-d62222ecfe6e,4cf69867-e0f8-4ea6-ac52-94782bab656e,SOL-USD,crypto,12.079814,702.157075,2025-02-10 03:27:37,2025-08-03 19:16:10
ae22fb9b-fcc7-40f0-ac31-3a905c490538,4cf69867-e0f8-4ea6-ac52-94782bab656e,DOGE-USD,crypto,7.34705,0.841699,2025-02-06 03:27:37,2025-12-19 02:06:29
e62e1780-785d-4064-a7c9-50cb7a69a220,4cf69867-e0f8-4ea6-ac52-94782bab656e,GOOGL,stock,578.440432,872.897895,2025-02-24 03:27:37,2026-01-20 07:01:29
de0bdf7c-807c-4028-9572-7957dd832a95,4cf69867-e0f8-4ea6-ac52-94782bab656e,META,stock,463.860493,2361.56759,2025-02-02 03:27:37,2026-02-07 11:46:53
8981552d-f4ff-4c91-87b2-258e2919546b,836de5f9-a12d-4d5c-8115-b3c0222fc343,BNB-USD,crypto,5.362568,1509.215938,2026-01-14 21:51:48,2026-02-27 10:28:11
67d86fcd-ca43-4c01-b5f4-40f0bbcdbd50,836de5f9-a12d-4d5c-8115-b3c0222fc343,B3SA3.SA,stock,281.437388,11.836334,2025-12-18 21:51:48,2026-02-23 05:14:01
0f2d595d-b34d-4073-99ef-0211952b91a6,836de5f9-a12d-4d5c-8115-b3c0222fc343,GOOGL,stock,380.468869,842.140053,2026-01-14 21:51:48,2026-02-19 21:59:56
6ec082b4-dba2-409e-8323-92ca8a72a9e8,836de5f9-a12d-4d5c-8115-b3c0222fc343,VALE3.SA,stock,411.12061,67.546784,2025-12-21 21:51:48,2026-02-25 08:40:40
b6a06ab4-ba0e-4583-ae14-88331ce3807e,836de5f9-a12d-4d5c-8115-b3c0222fc343,EUR-BRL,fx,15214.427536,4.984122,2025-12-23 21:51:48,2026-02-15 14:39:34
6d1ba381-2c1d-4ac7-9304-ed3ea890df4c,836de5f9-a12d-4d5c-8115-b3c0222fc343,PETR4.SA,stock,827.430627,39.073694,2026-01-14 21:51:48,2026-02-24 07:05:48
97cb230a-eb55-4553-b946-55bbe0c772ca,df25019e-10a9-4b98-b59e-eea11a55c4ed,GOOGL,stock,351.177381,979.823271,2025-12-26 21:51:48,2026-02-20 15:06:37
c0e69f5f-78da-4f11-bcf6-704ad9b8ac4e,df25019e-10a9-4b98-b59e-eea11a55c4ed,LREN3.SA,stock,338.130839,19.529682,2025-12-27 21:51:48,2026-02-17 17:27:00
fd66aa2e-c093-46b8-a695-7c6131801c76,df25019e-10a9-4b98-b59e-eea11a55c4ed,BTC-USD,crypto,10.982506,286472.260839,2026-01-11 21:51:48,2026-02-28 20:58:26
40ec446a-4316-4add-aaad-0f05392bce35,df25019e-10a9-4b98-b59e-eea11a55c4ed,ADA-USD,crypto,12.50622,2.43334,2025-12-24 21:51:48,2026-02-18 12:39:54
e9bb88d7-1e4a-4cee-a894-630c031ce12e,1f162cb8-5483-4a20-9df8-e7302a49994a,V,stock,415.859237,1302.306824,2025-03-24 00:54:28,2026-01-23 16:27:57
bfcacf8e-88e0-4f96-861f-17d0262015b9,1f162cb8-5483-4a20-9df8-e7302a49994a,BTC-USD,crypto,1.291257,277021.138796,2025-03-27 00:54:28,2025-07-28 19:33:52
404bb87f-63d2-4700-b28b-d72f869a92a0,1f162cb8-5483-4a20-9df8-e7302a49994a,B3SA3.SA,stock,651.1796,12.227949,2025-04-15 00:54:28,2026-01-13 15:22:01
